name,address,phone,rating,reviews,category
Wow Fitness Gym At Isro Layout,"Stage 2 Isro Layout, Bangalore",7041554537,4.8,506.0,Gyms
Elite Squad Gymnastics Academy (Chandapura),"Marsur Gate Marsur, Bangalore",07383740174,4.8,29.0,Fitness-Studio
Iconic Fitness Koramangala,"Wipro Signal Koramangala 1st Block, Bangalore",08904249820,4.7,802.0,Fitness-Studio
Vivs Gym,"Mosque Road Frazer Town, Bangalore",08050264059,4.3,262.0,Fitness-Studio
Excel Dance and Fitness,"BTM 4th Stage Vijaya Bank Layout, Bangalore",08490888466,4.5,74.0,Fitness-Studio
Shubha Sangeetha Mattu Nrutya Paata Shale,"Nagadevanahalli-gnanabharathi, Bangalore",09980149688,4.1,11.0,Fitness-Studio
Skanda Fitness Centrer,"8th Cross Kaveri Kantha Koramangala, Bangalore",07411829469,4.8,542.0,Fitness-Studio
Fit Society,"Bull Temple Main Road Basavanagudi, Bangalore",09845270206,4.9,214.0,Fitness-Studio
Reckon Dance Zumba & Fitness Studio LLP,"Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar, Bangalore",07490847214,4.7,101.0,Fitness-Studio
Prafitz Dance & Fitness,"Immadihalli Main Road Whitefield, Bangalore",07487861570,4.9,49.0,Fitness-Studio
Shields Fitness Club,"Vani Vilas Road Basavanagudi, Bangalore",09980543710,4.7,569.0,Fitness-Studio
Silhouette Fitness,"24th Cross Road Banashankari 2nd Stage, Bangalore",09980229160,4.6,652.0,Fitness-Studio
Rowell Fitness,"1st Jp Nagar 7th Phase, Bangalore",09035018526,4.9,449.0,Fitness-Studio
Fitness Race,"Dinnur Main Road Rt Nagar, Bangalore",08105032618,4.5,382.0,Fitness-Studio
Apple Fitness,"18th Main Road Jayanagar 4th T Block, Bangalore",08460415524,4.1,752.0,Fitness-Studio
Emerge Fitness Studio and Sports Arena Kengeri,"Kengeri Ring Road Gnanabharathi, Bangalore",08123790528,4.5,14.0,Fitness-Studio
Get Sculpt Here,"Ambedkar Nagar Hill Top Whitefield, Bangalore",07041151920,3.5,2.0,Fitness-Studio
Shorin Ryu Karate Do Martial Arts Fitness Clubs,"Gandhi Circle Varthur Varthur, Bangalore",09980239396,4.6,11.0,Fitness-Studio
Athletes Revolution Fitness Center,"Oil Mill Road Kammanahalli, Bangalore",08401150426,5.0,211.0,Fitness-Studio
Tenzee Multisports,"Bannerghatta Main Road Bilekahalli, Bangalore",09724613948,4.3,187.0,Fitness-Studio
Leon Maestro De Fitness,"Kammanahalli Main Road Kammanahalli, Bangalore",09980137198,4.5,469.0,Fitness-Studio
The Happy Yoga Community,"23rd Cross Jayanagar 7th Block, Bangalore",09725979029,4.7,219.0,Fitness-Studio
Bangalore Indoor Cricket Club,"Next to G T Residential Layout Laggere, Bangalore",09980216977,4.2,962.0,Fitness-Studio
Emerge Private Fitness Studio,"24th Cross Jayanagar 6th Block, Bangalore",09606166994,4.8,1.0,Fitness-Studio
Excel Dance And Fitness Academy,"5th Cross Road Koramangala 6th Block, Bangalore",09740248499,4.7,76.0,Fitness-Studio
Finix Fitness Studio,"Gandhi Bazar Main Road Basavanagudi, Bangalore",08050765716,4.6,883.0,Fitness-Studio
Muscle Craft Fitness Centre,"24th Main Jp Nagar 5th Phase, Bangalore",09980011967,4.3,174.0,Fitness-Studio
Move N Groove Dance and Fitness Studio Sanjaynagar Branch,"Sanjay Nagar Main Road Sanjay Nagar, Bangalore",08460492997,3.5,2.0,Fitness-Studio
Kittys Muscle Planet,"Modi Hospital Road Basaveshwara Nagar, Bangalore",08460484369,4.9,367.0,Fitness-Studio
Zero 3,"29th Cross Main Road Kaggadasapura Road, Bangalore",07048312669,5.0,1.0,Fitness-Studio
Muscle Pump Gym,"ITI Layout Kathriguppe, Bangalore",08867682568,4.6,82.0,Fitness-Studio
Jaguar Fitness Maruthi Nagar,"Maruthi Nagar Madiwala, Bangalore",08511066401,4.6,367.0,Fitness-Studio
Emerge Premium Fitness Studio,"S Kariyappa Road Jayanagar 7th Block, Bangalore",09054821932,4.8,119.0,Fitness-Studio
4th Station Gym,"2nd Block Basaveshwara Nagar, Bangalore",06366558724,4.5,467.0,Fitness-Studio
Clout Fit,"Whitefield Hoskote Road Belathur, Bangalore",08401264082,4.9,671.0,Fitness-Studio
Eden Spalicious Pvt Ltd,"Anjaneya Nagar Banashankari 3rd Stage, Bangalore",09980216892,3.6,121.0,Fitness-Studio
Furyinc.Co,Bangalore,09980116072,4.4,4.0,Fitness-Studio
Witness The Fitness,"Devachikkahalli Main Road Begur, Bangalore",07041567319,4.9,395.0,Fitness-Studio
Reboot Fitness and Dance Studio,"Ombr Layout-Banaswadi, Bangalore",09980229077,4.5,39.0,Fitness-Studio
Bmf Station Body Mind Fit,"Muneshwara Block Banashankari 3rd Stage, Bangalore",08460510367,4.6,114.0,Fitness-Studio
Clout Fit,"Kodigehalli Main Road Krishnarajapuram, Bangalore",08401768770,4.7,722.0,Fitness-Studio
Rba Of Arts,"Beml Layout Rajarajeshwari Nagar, Bangalore",09980539404,4.5,65.0,Fitness-Studio
TFT GYM,"Kumaraswamy Layout Kumaraswamy Layout 1st Stage, Bangalore",09980232674,4.7,366.0,Fitness-Studio
Sunrisers Sports & Cultural Federation,"Anand Layout Vidyaranyapura, Bangalore",Show Number,4.6,11.0,Fitness-Studio
Fitness First,"Whitefield Main Road Whitefield, Bangalore",08401527147,4.3,185.0,Fitness-Studio
M3 Fitness Club,"Marathalli Outer Ring Road Marathahalli, Bangalore",Show Number,4.3,64.0,Fitness-Studio
SAP Fitness,"Kempegowda Layout Outer Ring Road Laggere, Bangalore",09980796687,5.0,35.0,Fitness-Studio
Skanda Fitness Center,"8th Cross Road Jakkasandra, Bangalore",07947313088,4.8,547.0,Fitness-Studio
Ymia Club,"Assaye Road, Bangalore",09606170197,4.0,69.0,Fitness-Studio
TRIURGE,"Jayanagar, Bangalore",Show Number,4.8,103.0,Fitness-Studio
Jbs Football Ground,"Krishnappa Garden C V Raman Nagar, Bangalore",08045784912,4.2,797.0,Fitness-Studio
Body Edit,"80 Feet Road Padmanabhanagar, Bangalore",Show Number,5.0,194.0,Fitness-Studio
Jayanagar Volleyball Stadium,"Bengaluru Jayanagar, Bangalore",09606185598,4.8,319.0,Fitness-Studio
The Hsr Club,"22nd Cross HSR Layout Sector 3, Bangalore",Show Number,4.2,7.0,Fitness-Studio
The Majesstine Sports,"5th Cross Garvebhavipalya, Bangalore",Show Number,4.4,3.0,Fitness-Studio
Star Fitness Gym & Health Club,"Saraswathipuram Main Road Saraswathipuram, Bangalore",Show Number,4.0,3.0,Fitness-Studio
Hawk Fitness,"Electronic C electronic city, Bangalore",Show Number,4.9,1.0,Fitness-Studio
Moveza Fitness - Panathur,"Panathur Road Kadubeesanahalli, Bangalore",Show Number,4.1,2.0,Fitness-Studio
Zest Fitness Studio Ect,"Neeladri Road Electronic City, Bangalore",Show Number,4.8,1.0,Fitness-Studio
Reforma Fitness Center,"Mathikere Main Road Mathikere, Bangalore",Show Number,4.8,1.0,Fitness-Studio
Fitness Empire,"Outer Ring Road Marathahalli, Bangalore",Show Number,4.7,1.0,Fitness-Studio
Fitness Fuel Factory,"17th Cross HSR Layout, Bangalore",Show Number,4.8,1.0,Fitness-Studio
Srx Fitness Studio,"HMT Main Road Mathikere, Bangalore",Show Number,4.8,1.0,Fitness-Studio
Zest Fitness Studio,"27th Main Road HSR Layout Sector 1, Bangalore",Show Number,4.6,1.0,Fitness-Studio
Gold's Gym,"Whitefield Main Road Whitefield, Bangalore",Show Number,4.1,1.0,Fitness-Studio
Bon Ton Fitness,"108 3RD FLOOR 4TH Nagasandra, Bangalore",Show Number,4.9,1.0,Fitness-Studio
Muscle Planet,"Laggere Main Road Laggere, Bangalore",Show Number,4.9,1.0,Fitness-Studio
Vinnis Fitness,"Hesarghatta Main Road Hessargatta Main Road, Bangalore",Show Number,4.9,1.0,Fitness-Studio
Curl Fit,"Ejipura Main Road Ejipura, Bangalore",Show Number,4.8,1.0,Fitness-Studio
Befiter Fitness,"11th Main Road Mathikere, Bangalore",Show Number,4.8,1.0,Fitness-Studio
Arch Physiotherapy And Rehabilitation,"Kundanahalli Kundalahalli, Bangalore",Show Number,4.8,1.0,Fitness-Studio
Stayfit Hub,"Bannerghatta Road Bannerghatta Road, Bangalore",Show Number,4.9,1.0,Fitness-Studio
Athletes Revolution Fitness Center,"Oil Mill Road Kammanahalli, Bangalore",08401150426,5.0,211.0,Calisthenic-Gym
Emerge Premium Fitness Studio,"S Kariyappa Road Jayanagar 7th Block, Bangalore",09054821932,4.8,119.0,Calisthenic-Gym
Twistars Gymnastics,"Hrbr Layout, Bangalore",08460393915,4.9,120.0,Calisthenic-Gym
Zest Fitness Studio Ect,"Neeladri Road Electronic City, Bangalore",Show Number,4.8,1.0,Calisthenic-Gym
Zest Fitness Studio,"27th Main Road HSR Layout Sector 1, Bangalore",Show Number,4.6,1.0,Calisthenic-Gym
Ramana Boxing Club,"Outer Ring Road Hrbr Layout, Bangalore",Show Number,4.4,620.0,Calisthenic-Gym
Chaos Faktory,"15th Cross Road HSR Layout, Bangalore",Show Number,4.7,515.0,Calisthenic-Gym
Fitness First (Eva Mall),"Brigade Road Brigade Road, Bangalore",Show Number,4.0,594.0,Calisthenic-Gym
Health & Fitness Gym,"19 Khb Colony 5th Block Bengaluru Koramangala, Bangalore",Show Number,4.9,476.0,Calisthenic-Gym
Fitness First,"100 Feet Inner Ring Road Koramangala, Bangalore",Show Number,3.9,584.0,Calisthenic-Gym
Multifit Hrbr,"HRBR Layout Kalyan Nagar, Bangalore",Show Number,4.1,476.0,Calisthenic-Gym
Multifit,"80 Feet Road HAL 2nd Stage Indiranagar, Bangalore",Show Number,4.1,329.0,Calisthenic-Gym
Rise Fitness,"Hormavu Main Road Banaswadi, Bangalore",Show Number,4.9,264.0,Calisthenic-Gym
Mani's Core Fit,"Malleswaram, Bangalore",Show Number,4.8,261.0,Calisthenic-Gym
Fit Factory,"Uttarahalli Main Road Uttarahalli, Bangalore",Show Number,4.6,238.0,Calisthenic-Gym
Maniac Lads Pvt Ltd,"Kagdaspura Main Road C V Raman Nagar, Bangalore",Show Number,4.9,205.0,Calisthenic-Gym
Kineto Calisthenics Park,"Chikkalasandra Ramanjaneya Nagar, Bangalore",Show Number,5.0,200.0,Calisthenic-Gym
Ace Fitness,"6th Block Banashankari 3rd Stage, Bangalore",Show Number,4.9,197.0,Calisthenic-Gym
Fighter Club,"Begur Road, Bangalore",Show Number,5.0,190.0,Calisthenic-Gym
Calibaf - The Calisthenics Studio,"7th Main Road Hrbr Layout, Bangalore",Show Number,4.9,191.0,Calisthenic-Gym
Kranos Fitness Hub,"HSR Layout HSR Layout, Bangalore",Show Number,4.7,196.0,Calisthenic-Gym
Karnos Fitness Hub,"Near It Park It Layout Sector 7 HSR Layout Sector 7, Bangalore",Show Number,4.7,194.0,Calisthenic-Gym
The Movement Fitness Centre,"23rd Cross Road HSR Layout, Bangalore",Show Number,4.7,188.0,Calisthenic-Gym
Bohofit Fitness Centre,"2nd Cross HSR Layout, Bangalore",Show Number,5.0,169.0,Calisthenic-Gym
Nxtmove Fitness Pvt Ltd,"24th Main Road HSR Layout Sector 2, Bangalore",Show Number,4.7,143.0,Calisthenic-Gym
Cult Fit,"Gangadhar Chetty Road Ulsoor, Bangalore",Show Number,4.1,162.0,Calisthenic-Gym
Fusion Fitness,"5th Main Road Ittamadu, Bangalore",Show Number,4.8,132.0,Calisthenic-Gym
Mind and Muscle Fitness,"Between Jp Nagar 7th Phase, Bangalore",Show Number,5.0,124.0,Calisthenic-Gym
Republic Of Domination,"Panduranga Nagar, Bangalore",Show Number,4.9,108.0,Calisthenic-Gym
Akhaada Crossfit Studio,"Anugraha Layout, Bangalore",Show Number,5.0,102.0,Calisthenic-Gym
Fitness At Impact,"3rd Block Basaveshwara Nagar, Bangalore",,4.8,87.0,Calisthenic-Gym
Bell Fitness and Play Arena,"Dodda Basti Main Road Sonnenahalli, Bangalore",Show Number,4.9,83.0,Calisthenic-Gym
The Outfit Gym,"Sodepur Appareddipalya Bengaluru Indiranagar, Bangalore",Show Number,4.6,86.0,Calisthenic-Gym
Muscle Garage,"Dr Rajkumar Road Rajajinagar 6th Block, Bangalore",Show Number,5.0,48.0,Calisthenic-Gym
Get In Shape,"Seshadripuram, Bangalore",,4.9,8.0,Calisthenic-Gym
Srushti Kala Mandira,"16th Jp Nagar 5th Phase, Bangalore",Show Number,4.3,8.0,Calisthenic-Gym
Fitness Edge Equipments,"#44 CNR Complex Vinayaka Nagar Yelahanka, Bangalore",Show Number,3.8,5.0,Calisthenic-Gym
The Cavalry Strength And Conditioning,"Street John'S Road St Johns Road, Bangalore",Show Number,4.4,4.0,Calisthenic-Gym
Fit Equation Gym,"1st Phase Bharat Nagar, Bangalore",Show Number,5.0,2.0,Calisthenic-Gym
Spartan Fitness,"Kogilu Main Road Kogilu, Bangalore",Show Number,4.0,2.0,Calisthenic-Gym
Sri Gandha Gym,"Magadi Main Road Anjananagar, Bangalore",,5.0,1.0,Calisthenic-Gym
Mr Chethan,"Mysore Road Kumbalgodu, Bangalore",Show Number,4.0,1.0,Calisthenic-Gym
Mahi's Dance Club,"Ist Cross Road Bhagyalakshmi Avenue, Bangalore",Show Number,4.0,1.0,Calisthenic-Gym
NB3 Fitness Centra gym,Bangalore,,3.0,1.0,Calisthenic-Gym
Sculpt Fitness,"Rayakotta Road Old Rayakottah HUDCO, Hosur",Show Number,5.0,8.0,Calisthenic-Gym
Hosur Sports Arena,"Krishnagiri Bye Pass Road Jalagandeswarar Nagar, Hosur",Show Number,4.5,140.0,Calisthenic-Gym
New S P Fitness Studio,"Channel Road Ck Road, Channapatna",Show Number,4.9,19.0,Calisthenic-Gym
MS FITNESS AND GYM,"Govt Boys College Main Road Kolar Fort, Kolar",Show Number,4.9,42.0,Calisthenic-Gym
My Fit Fitness Centre,"Sidco Krishnagiri Courts, Krishnagiri",Show Number,5.0,55.0,Calisthenic-Gym
Ajaya Golden Gym,"Old Bus Stand Road Pandavapura, Mandya",Show Number,5.0,1.0,Calisthenic-Gym
POWER HOUSE GYM SLEEK FIT MACHINE MAKERS,"Al Badar Road Rajivnagar, Mysore",Show Number,4.4,160.0,Calisthenic-Gym
Pure Gym,"New Kantharaj Urs Road Tk Layout, Mysore",Show Number,4.6,281.0,Calisthenic-Gym
Heallth Club,"2nd Phase Vijaynagar 4th Stage, Mysore",Show Number,4.8,16.0,Calisthenic-Gym
Supernova Fitness 365,"Gaddige Main Road Bogadi, Mysore",Show Number,5.0,5.0,Calisthenic-Gym
G V Fitness Gym,"12 Bangalore Highways Karumbalai Karuppur, Salem",Show Number,4.9,64.0,Calisthenic-Gym
Akhils Ak Fitness,"Dr Subbarayan Road Agraharam, Salem",Show Number,5.0,3.0,Calisthenic-Gym
K A 13 Fitness,"Dasarakoppalu Circle Salagame Road, Hassan",09724265594,5.0,53.0,Calisthenic-Gym
Ironstone Gym,"M G Road Bm Road, Hassan",Show Number,4.6,98.0,Calisthenic-Gym
Reckon Dance Zumba & Fitness Studio LLP,"Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar, Bangalore",07490847214,4.7,101.0,Dance-Zumba-Studio
Zumba Fitness Dance - Fox Fire Dance Studio,"VMR Complex Munekollal, Bangalore",,-,,Dance-Zumba-Studio
Kink Moirai Dance & Zumba Fitness Studio,"Dasarahalli Main Road Hebbal, Bangalore",Show Number,5.0,34.0,Dance-Zumba-Studio
Moumitas' Zumba and Freestyle Dance Studio,"Vishwajit Layout Vignana Nagar, Bangalore",,4.8,20.0,Dance-Zumba-Studio
D'senoras - Zumba & Dance Fitness Studio,"Brindavan Layout Road Horamavu, Bangalore",Show Number,4.3,3.0,Dance-Zumba-Studio
Resuel Bank Studio Zin Zumba And Dance Fitness Studio,"Hosur Road Koramangala, Bangalore",Show Number,-,,Dance-Zumba-Studio
Dance &Zumba Studio,"Pragati Puram Habibulla Nagar, Raebareli",,4.8,26.0,Dance-Zumba-Studio
8e1 Dance Studio,"Bannerghatta Road Arekere Village, Bangalore",Show Number,4.9,91.0,Dance-Zumba-Studio
SR Dance and Fitness Studio,"Gottigere BG Road Gottigere, Bangalore",Show Number,-,,Dance-Zumba-Studio
Dance Studio & Zumba Center,"Nagla Masani Pratibha Colony, Aligarh",,4.0,2.0,Dance-Zumba-Studio
Dance To Fit Zumba Studio,"Tatabad 3rd Street Tatabad, Coimbatore",,4.8,44.0,Dance-Zumba-Studio
Dance Beat(Dance & Zumba Fitness Studio),"Sector 12 Chopasni Housing Board, Jodhpur",Show Number,4.6,6.0,Dance-Zumba-Studio
Dance Work Studio & Zumba Classes,"Tehri Visthapit Colony, Haridwar",,-,,Dance-Zumba-Studio
Dance Academy Zumba Studio Vadodara Baroda,"Sun Pharma Road Bhaili, Vadodara",Show Number,4.0,2.0,Dance-Zumba-Studio
Dance with me dance & zumba studio,"Mehsana Industrial Estate, Mehsana",Show Number,-,,Dance-Zumba-Studio
Dance Zumba Aerobics Instructor,Bangalore,Show Number,-,,Dance-Zumba-Studio
Private Dance yoga zumba trainer,"BTM Lake Road BTM Layout 2nd Stage, Bangalore",Show Number,-,,Dance-Zumba-Studio
Saraswathi Risen Eternal Zumba Dance Yoga Aerobics Fitness Academy,"Hosur Main Road Electronic City Phase 2, Bangalore",Show Number,4.7,41.0,Dance-Zumba-Studio
Machas Zumba & Dance Fitness,"Vmr Complex 4th Floor Kundalahalli, Bangalore",Show Number,4.9,520.0,Dance-Zumba-Studio
Santhus Zumba Dance And Yoga,"5th Cross C V Raman Nagar, Bangalore",Show Number,4.9,127.0,Dance-Zumba-Studio
Alpha Zumba Dance Fitness Centre,"Double Road9th Main Road Ramamurthy Nagar, Bangalore",Show Number,4.5,42.0,Dance-Zumba-Studio
ZUMBA & DANCE FITNESS,"Ayyappa Nagar-Krishnarajapura, Bangalore",Show Number,5.0,1.0,Dance-Zumba-Studio
Zumba Fitness And Dance,"Dwaraka Nagar Bengaluru Nms Layout, Bangalore",Show Number,4.0,2.0,Dance-Zumba-Studio
Bollywood Western Zumba Dance Academy,"Sonnenahalli Krishnarajapura Bengaluru K Dommasandra, Bangalore",,-,,Dance-Zumba-Studio
Aerobics Zumba Fitness Program Marathon and Dance (Closed Down),"Hennur Bagalur Road Patel Nanjundappa Layout, Bangalore",,-,,Dance-Zumba-Studio
Umesh Studio Dance & Zumba Fitness Classes,"B Wing 3rd Floor Patni Chowk, Washim",Show Number,4.7,9.0,Dance-Zumba-Studio
Aryashiva School Of Dance and Aerobic & Zumba Fitnes Studio,"Gowri Kaluve Chikmagalur Fort, Chikmagalur",09972950368,4.7,20.0,Dance-Zumba-Studio
Funk Fusion Dance and Zumba Fitness Studio,"Gulmohor Road Savedi, Ahmednagar",08460456037,4.2,17.0,Dance-Zumba-Studio
Kommotion Studio Of Dance Zumba And Fitness,"Guru Nanak Vihar Race Course, Dehradun",Show Number,4.8,161.0,Dance-Zumba-Studio
Rise and Shine Dance Zumba Aerobics Yoga Studio,"Street No 2 Lalammagarden Manikonda, Hyderabad",09054750518,4.8,301.0,Dance-Zumba-Studio
Groove Galaxy Dance And Zumba Fitness Studio Lucknow,"Wazir Hussain Gokhale Vihar Marg, Lucknow",08123170861,4.9,12.0,Dance-Zumba-Studio
The Women S Power Zumba & Dance Studio,"Ramna Kharbi, Nagpur",Show Number,4.8,74.0,Dance-Zumba-Studio
Rise and Shine Dance Zumba Aerobics Yoga Studio,"Street No:2 Manikonda, Hyderabad",08197651194,4.8,301.0,Dance-Zumba-Studio
Marvelouz Zumba & Fitness Studio,"Old Alwal-Alwal, Hyderabad",Show Number,4.8,90.0,Dance-Zumba-Studio
Kalpataa -power Yoga Zumba and Dance Studio,"Sanatana Eternal 1st Floor Himayat Nagar, Hyderabad",Show Number,4.6,250.0,Dance-Zumba-Studio
Zumba Aerobics Fitness & D Creation Dance Studio,"Gurudwara Road Model Town, Panipat",Show Number,4.0,3.0,Dance-Zumba-Studio
Rocky Dance Studio & Zumba Fitness Class,"Ground Floor Dilawar Gunj Mangal Hat East, Hyderabad",,-,,Dance-Zumba-Studio
Isha Space For Arts,"Judicial Layout Gkvk, Bangalore",Show Number,4.6,31.0,Dance-Zumba-Studio
Raj Dance Academy,"Kengeri Satelite Town, Bangalore",,-,,Dance-Zumba-Studio
YADHUVEER DANCE ACADEMY,"Basaveshwara Nagar, Bangalore",Show Number,2.5,2.0,Dance-Zumba-Studio
Studio Of Passion,"Royal Mart Building 2nd Floor Padmanabhanagar, Bangalore",,4.8,4.0,Dance-Zumba-Studio
Zumba With Royston Whitefield,"Whitefield Whitefield Main Road, Bangalore",Show Number,4.0,2.0,Dance-Zumba-Studio
Guevaric Dancers,"7th Cross Wilson Garden, Bangalore",Show Number,4.8,8.0,Dance-Zumba-Studio
Zumba Fitness Indiranagar,"100 Feet Road Indiranagar Indiranagar, Bangalore",Show Number,3.8,6.0,Dance-Zumba-Studio
Dancing Butterflies Zumba,"Gandhi Bazaar main road Basavanagudi, Bangalore",Show Number,3.0,1.0,Dance-Zumba-Studio
Dance Planet,"HSR LAYOUT SECTOR 5, Bangalore",Show Number,2.5,1.0,Dance-Zumba-Studio
Zumba,"12th Main Road BTM Layout 2nd Stage, Bangalore",Show Number,-,,Dance-Zumba-Studio
Bellez Dance And Fitness Academy,"Koramangala 1 Block Koramangala, Bangalore",,-,,Dance-Zumba-Studio
Rdi Dance Studio,"BTM Layout 2nd Stage, Bangalore",Show Number,-,,Dance-Zumba-Studio
Kyokushin Karate Mohan Dojo,"15th J Cross Road Bns Layout, Bangalore",Show Number,4.8,16.0,Karate-Dojo
Shaolin Karate - Okajima Dojo,"Jakkur Plantation, Bangalore",Show Number,4.3,3.0,Karate-Dojo
Kyokushin Karate Anil Dojo Academy,"12th Main Road Hebbal, Bangalore",Show Number,4.7,10.0,Karate-Dojo
Jska Karate Dojo,"Kothnur Village Main Road Jp Nagar, Bangalore",Show Number,4.6,19.0,Karate-Dojo
Shorin-Ryu Shobu-Kan Karate Dojo,"Annasandrapalya Extension, Bangalore",Show Number,4.7,8.0,Karate-Dojo
Arakawa Wadokai Karate Do,"Bg Road Krishna Layout Extension, Bangalore",Show Number,3.0,2.0,Karate-Dojo
Shotokan KARATE-DOJO,"KVP Nagat 2nd Stage Jalahalli East, Bangalore",Show Number,-,,Karate-Dojo
Kyokushin Full Contact Karate Dojo (Hpka),"Inner Cir Road Channasandra, Bangalore",,-,,Karate-Dojo
The Dojo Karate Center,"Nagareshwara Nagenahalli Main Road K Narayanapura, Bangalore",,2.5,2.0,Karate-Dojo
Karate Dojo,"Rajupeta Colony Ramalayam, Bhadrachalam",Show Number,5.0,1.0,Karate-Dojo
Karate Dojo Moga,"Basti Gobindgarh Road Nanak Pura, Moga",Show Number,4.6,5.0,Karate-Dojo
Karate Dojo Den,"Balaji Mandir Pally Sushmapally, Kharagpur",Show Number,4.6,11.0,Karate-Dojo
The Karate Dojo,"Sitamani Sita Manimain Road, Korba",Show Number,4.3,3.0,Karate-Dojo
Dojo De Santa Cruz,"Bondir Wado Panaji Santa Cruz, Goa",Show Number,5.0,26.0,Karate-Dojo
Karate Dojo & Dream of Dance,"Bhagwat Nagar Chauraha, Patna",Show Number,4.9,1.0,Karate-Dojo
Karate Dojo & Dream Of Dance Class,"Bhootnath Road Chitragupta Nagar, Patna",Show Number,4.9,136.0,Karate-Dojo
Karate Dojo (Office) Sensei Dinesh Choudhary,"Shop. No- 125 Ganesh Nagar Vistar Jaipur Jhotwara, Jaipur",,4.9,15.0,Karate-Dojo
Karate Dojo,"S Lachit Nagar Main Road, Guwahati",,3.6,7.0,Karate-Dojo
The Karate Dojo ( Martial-arts Academy),"VLM English School Sunder Nagar, Raipur-Chhattisgarh",Show Number,4.6,5.0,Karate-Dojo
Karate Dojo Classes,"G.t. Road Etah Railway Road, Etah",Show Number,-,,Karate-Dojo
karate dojo,"ajmer Nagra, Ajmer",Show Number,3.5,2.0,Karate-Dojo
Karate Dojo Jaysree Sangha,"Joyshree Sangha Kalitala Kolkata Bansdroni, Kolkata",Show Number,5.0,9.0,Karate-Dojo
The Karate Dojo Academy,"Shivanand Nagar Road Khamtarai, Raipur-Chhattisgarh",,-,,Karate-Dojo
Karate Dojo (Closed Down),"Nashik Nagar Thirunindravur, Chennai",,-,,Karate-Dojo
Karate Dojo Sensei Dinesh Choudhary,"14 Narsi Vihar Bajrang Dwar Jhotwara, Jaipur",,-,,Karate-Dojo
