name,address,phone,rating,reviews,category,Medium,City,area,is_near_duplicate,missing_contact,invalid_phone
Shubha Sangeetha Mattu Nrutya Paata Shale,"Nagadevanahalli-gnanabharathi, Bangalore",09980149688,4.1,11,Fitness Studio,JustDial,Bangalore,Nagadevanahalli-gnanabharathi,False,False,False
Skanda Fitness Centrer,"8th Cross Kaveri Kantha Koramangala, Bangalore",07411829469,4.8,542,Fitness Studio,JustDial,Bangalore,Kaveri Kantha Koramangala,True,False,False
Fit Society,"Bull Temple Main Road Basavanagudi, Bangalore",09845270206,4.9,214,Fitness Studio,JustDial,Bangalore,Bull Temple Main Road Basavanagudi,True,False,False
Reckon Dance Zumba & Fitness Studio LLP,"Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar, Bangalore",07490847214,4.7,101,Fitness Studio,JustDial,Bangalore,Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar,True,False,False
Prafitz Dance & Fitness,"Immadihalli Main Road Whitefield, Bangalore",07487861570,4.9,49,Fitness Studio,JustDial,Bangalore,Immadihalli Main Road Whitefield,False,False,False
Shields Fitness Club,"Vani Vilas Road Basavanagudi, Bangalore",09980543710,4.7,569,Fitness Studio,JustDial,Bangalore,Vani Vilas Road Basavanagudi,True,False,False
Silhouette Fitness,"24th Cross Road Banashankari 2nd Stage, Bangalore",09980229160,4.6,652,Fitness Studio,JustDial,Bangalore,Road Banashankari 2nd Stage,True,False,False
Rowell Fitness,"1st Jp Nagar 7th Phase, Bangalore",09035018526,4.9,449,Fitness Studio,JustDial,Bangalore,1st Jp Nagar 7th Phase,True,False,False
Fitness Race,"Dinnur Main Road Rt Nagar, Bangalore",08105032618,4.5,382,Fitness Studio,JustDial,Bangalore,Dinnur Main Road Rt Nagar,True,False,False
Apple Fitness,"18th Main Road Jayanagar 4th T Block, Bangalore",08460415524,4.1,752,Fitness Studio,JustDial,Bangalore,Jayanagar,True,False,False
Emerge Fitness Studio and Sports Arena Kengeri,"Kengeri Ring Road Gnanabharathi, Bangalore",08123790528,4.5,14,Fitness Studio,JustDial,Bangalore,Kengeri Ring Road Gnanabharathi,True,False,False
Get Sculpt Here,"Ambedkar Nagar Hill Top Whitefield, Bangalore",07041151920,3.5,2,Fitness Studio,JustDial,Bangalore,Ambedkar Nagar Hill Top Whitefield,True,False,False
Shorin Ryu Karate Do Martial Arts Fitness Clubs,"Gandhi Circle Varthur Varthur, Bangalore",09980239396,4.6,11,Fitness Studio,JustDial,Bangalore,Gandhi Circle Varthur Varthur,False,False,False
Athletes Revolution Fitness Center,"Oil Mill Road Kammanahalli, Bangalore",08401150426,5.0,211,Fitness Studio,JustDial,Bangalore,Oil Mill Road Kammanahalli,True,False,False
Tenzee Multisports,"Bannerghatta Main Road Bilekahalli, Bangalore",09724613948,4.3,187,Fitness Studio,JustDial,Bangalore,Bannerghatta Main Road Bilekahalli,True,False,False
Leon Maestro De Fitness,"Kammanahalli Main Road Kammanahalli, Bangalore",09980137198,4.5,469,Fitness Studio,JustDial,Bangalore,Kammanahalli Main Road Kammanahalli,False,False,False
The Happy Yoga Community,"23rd Cross Jayanagar 7th Block, Bangalore",09725979029,4.7,219,Fitness Studio,JustDial,Bangalore,Jayanagar,True,False,False
Bangalore Indoor Cricket Club,"Next to G T Residential Layout Laggere, Bangalore",09980216977,4.2,962,Fitness Studio,JustDial,Bangalore,Next to G T Residential Layout Laggere,False,False,False
Emerge Private Fitness Studio,"24th Cross Jayanagar 6th Block, Bangalore",09606166994,4.8,1,Fitness Studio,JustDial,Bangalore,Jayanagar,True,False,False
Excel Dance And Fitness Academy,"5th Cross Road Koramangala 6th Block, Bangalore",09740248499,4.7,76,Fitness Studio,JustDial,Bangalore,Road Koramangala,False,False,False
Finix Fitness Studio,"Gandhi Bazar Main Road Basavanagudi, Bangalore",08050765716,4.6,883,Fitness Studio,JustDial,Bangalore,Gandhi Bazar Main Road Basavanagudi,True,False,False
Muscle Craft Fitness Centre,"24th Main Jp Nagar 5th Phase, Bangalore",09980011967,4.3,174,Fitness Studio,JustDial,Bangalore,Jp Nagar 5th Phase,False,False,False
Move N Groove Dance and Fitness Studio Sanjaynagar Branch,"Sanjay Nagar Main Road Sanjay Nagar, Bangalore",08460492997,3.5,2,Fitness Studio,JustDial,Bangalore,Sanjay Nagar Main Road Sanjay Nagar,False,False,False
Kittys Muscle Planet,"Modi Hospital Road Basaveshwara Nagar, Bangalore",08460484369,4.9,367,Fitness Studio,JustDial,Bangalore,Modi Hospital Road Basaveshwara Nagar,True,False,False
Zero 3,"29th Cross Main Road Kaggadasapura Road, Bangalore",07048312669,5.0,1,Fitness Studio,JustDial,Bangalore,Main Road Kaggadasapura Road,True,False,False
Muscle Pump Gym,"ITI Layout Kathriguppe, Bangalore",08867682568,4.6,82,Fitness Studio,JustDial,Bangalore,ITI Layout Kathriguppe,False,False,False
Jaguar Fitness Maruthi Nagar,"Maruthi Nagar Madiwala, Bangalore",08511066401,4.6,367,Fitness Studio,JustDial,Bangalore,Maruthi Nagar Madiwala,True,False,False
Emerge Premium Fitness Studio,"S Kariyappa Road Jayanagar 7th Block, Bangalore",09054821932,4.8,119,Fitness Studio,JustDial,Bangalore,S Kariyappa Road Jayanagar,True,False,False
4th Station Gym,"2nd Block Basaveshwara Nagar, Bangalore",06366558724,4.5,467,Fitness Studio,JustDial,Bangalore,Basaveshwara Nagar,True,False,False
Clout Fit,"Whitefield Hoskote Road Belathur, Bangalore",08401264082,4.9,671,Fitness Studio,JustDial,Bangalore,Whitefield Hoskote Road Belathur,True,False,False
Eden Spalicious Pvt Ltd,"Anjaneya Nagar Banashankari 3rd Stage, Bangalore",09980216892,3.6,121,Fitness Studio,JustDial,Bangalore,Anjaneya Nagar Banashankari 3rd Stage,False,False,False
Furyinc.Co,Bangalore,09980116072,4.4,4,Fitness Studio,JustDial,Bangalore,Bangalore,True,False,False
Witness The Fitness,"Devachikkahalli Main Road Begur, Bangalore",07041567319,4.9,395,Fitness Studio,JustDial,Bangalore,Devachikkahalli Main Road Begur,True,False,False
Reboot Fitness and Dance Studio,"Ombr Layout-Banaswadi, Bangalore",09980229077,4.5,39,Fitness Studio,JustDial,Bangalore,Ombr Layout-Banaswadi,True,False,False
Bmf Station Body Mind Fit,"Muneshwara Block Banashankari 3rd Stage, Bangalore",08460510367,4.6,114,Fitness Studio,JustDial,Bangalore,Muneshwara Block Banashankari 3rd Stage,True,False,False
Clout Fit,"Kodigehalli Main Road Krishnarajapuram, Bangalore",08401768770,4.7,722,Fitness Studio,JustDial,Bangalore,Kodigehalli Main Road Krishnarajapuram,True,False,False
Rba Of Arts,"Beml Layout Rajarajeshwari Nagar, Bangalore",09980539404,4.5,65,Fitness Studio,JustDial,Bangalore,Beml Layout Rajarajeshwari Nagar,True,False,False
TFT GYM,"Kumaraswamy Layout Kumaraswamy Layout 1st Stage, Bangalore",09980232674,4.7,366,Fitness Studio,JustDial,Bangalore,Kumaraswamy Layout Kumaraswamy Layout 1st Stage,False,False,False
Sunrisers Sports & Cultural Federation,"Anand Layout Vidyaranyapura, Bangalore",,4.6,11,Fitness Studio,JustDial,Bangalore,Anand Layout Vidyaranyapura,False,True,False
Fitness First,"Whitefield Main Road Whitefield, Bangalore",08401527147,4.3,185,Fitness Studio,JustDial,Bangalore,Whitefield Main Road Whitefield,False,False,False
M3 Fitness Club,"Marathalli Outer Ring Road Marathahalli, Bangalore",,4.3,64,Fitness Studio,JustDial,Bangalore,Marathalli Outer Ring Road Marathahalli,False,True,False
SAP Fitness,"Kempegowda Layout Outer Ring Road Laggere, Bangalore",09980796687,5.0,35,Fitness Studio,JustDial,Bangalore,Kempegowda Layout Outer Ring Road Laggere,False,False,False
Skanda Fitness Center,"8th Cross Road Jakkasandra, Bangalore",07947313088,4.8,547,Fitness Studio,JustDial,Bangalore,Road Jakkasandra,False,False,False
Ymia Club,"Assaye Road, Bangalore",09606170197,4.0,69,Fitness Studio,JustDial,Bangalore,Assaye Road,False,False,False
TRIURGE,"Jayanagar, Bangalore",,4.8,103,Fitness Studio,JustDial,Bangalore,Jayanagar,False,True,False
Jbs Football Ground,"Krishnappa Garden C V Raman Nagar, Bangalore",08045784912,4.2,797,Fitness Studio,JustDial,Bangalore,Krishnappa Garden C V Raman Nagar,False,False,False
Body Edit,"80 Feet Road Padmanabhanagar, Bangalore",,5.0,194,Fitness Studio,JustDial,Bangalore,80 Feet Road Padmanabhanagar,False,True,False
Jayanagar Volleyball Stadium,"Bengaluru Jayanagar, Bangalore",09606185598,4.8,319,Fitness Studio,JustDial,Bangalore,Bengaluru Jayanagar,False,False,False
The Hsr Club,"22nd Cross HSR Layout Sector 3, Bangalore",,4.2,7,Fitness Studio,JustDial,Bangalore,HSR Layout Sector 3,False,True,False
The Majesstine Sports,"5th Cross Garvebhavipalya, Bangalore",,4.4,3,Fitness Studio,JustDial,Bangalore,Garvebhavipalya,False,True,False
Star Fitness Gym & Health Club,"Saraswathipuram Main Road Saraswathipuram, Bangalore",,4.0,3,Fitness Studio,JustDial,Bangalore,Saraswathipuram Main Road Saraswathipuram,False,True,False
Hawk Fitness,"Electronic C electronic city, Bangalore",,4.9,1,Fitness Studio,JustDial,Bangalore,Electronic C electronic city,False,True,False
Moveza Fitness - Panathur,"Panathur Road Kadubeesanahalli, Bangalore",,4.1,2,Fitness Studio,JustDial,Bangalore,Panathur Road Kadubeesanahalli,False,True,False
Zest Fitness Studio Ect,"Neeladri Road Electronic City, Bangalore",,4.8,1,Fitness Studio,JustDial,Bangalore,Neeladri Road Electronic City,True,True,False
Reforma Fitness Center,"Mathikere Main Road Mathikere, Bangalore",,4.8,1,Fitness Studio,JustDial,Bangalore,Mathikere Main Road Mathikere,False,True,False
Fitness Empire,"Outer Ring Road Marathahalli, Bangalore",,4.7,1,Fitness Studio,JustDial,Bangalore,Outer Ring Road Marathahalli,True,True,False
Fitness Fuel Factory,"17th Cross HSR Layout, Bangalore",,4.8,1,Fitness Studio,JustDial,Bangalore,HSR Layout,False,True,False
Srx Fitness Studio,"HMT Main Road Mathikere, Bangalore",,4.8,1,Fitness Studio,JustDial,Bangalore,HMT Main Road Mathikere,False,True,False
Zest Fitness Studio,"27th Main Road HSR Layout Sector 1, Bangalore",,4.6,1,Fitness Studio,JustDial,Bangalore,HSR Layout Sector 1,True,True,False
Gold's Gym,"Whitefield Main Road Whitefield, Bangalore",,4.1,1,Fitness Studio,JustDial,Bangalore,Whitefield Main Road Whitefield,True,True,False
Bon Ton Fitness,"108 3RD FLOOR 4TH Nagasandra, Bangalore",,4.9,1,Fitness Studio,JustDial,Bangalore,108 3RD FLOOR 4TH Nagasandra,False,True,False
Muscle Planet,"Laggere Main Road Laggere, Bangalore",,4.9,1,Fitness Studio,JustDial,Bangalore,Laggere Main Road Laggere,False,True,False
Vinnis Fitness,"Hesarghatta Main Road Hessargatta Main Road, Bangalore",,4.9,1,Fitness Studio,JustDial,Bangalore,Hesarghatta Main Road Hessargatta Main Road,False,True,False
Curl Fit,"Ejipura Main Road Ejipura, Bangalore",,4.8,1,Fitness Studio,JustDial,Bangalore,Ejipura Main Road Ejipura,False,True,False
Befiter Fitness,"11th Main Road Mathikere, Bangalore",,4.8,1,Fitness Studio,JustDial,Bangalore,Mathikere,True,True,False
Arch Physiotherapy And Rehabilitation,"Kundanahalli Kundalahalli, Bangalore",,4.8,1,Fitness Studio,JustDial,Bangalore,Kundanahalli Kundalahalli,False,True,False
Stayfit Hub,"Bannerghatta Road Bannerghatta Road, Bangalore",,4.9,1,Fitness Studio,JustDial,Bangalore,Bannerghatta Road Bannerghatta Road,False,True,False
Athletes Revolution Fitness Center,"Oil Mill Road Kammanahalli, Bangalore",08401150426,5.0,211,Calisthenic-Gym,JustDial,Bangalore,Oil Mill Road Kammanahalli,True,False,False
Emerge Premium Fitness Studio,"S Kariyappa Road Jayanagar 7th Block, Bangalore",09054821932,4.8,119,Calisthenic-Gym,JustDial,Bangalore,S Kariyappa Road Jayanagar,True,False,False
Twistars Gymnastics,"Hrbr Layout, Bangalore",08460393915,4.9,120,Calisthenic-Gym,JustDial,Bangalore,Hrbr Layout,False,False,False
Zest Fitness Studio Ect,"Neeladri Road Electronic City, Bangalore",,4.8,1,Calisthenic-Gym,JustDial,Bangalore,Neeladri Road Electronic City,True,True,False
Zest Fitness Studio,"27th Main Road HSR Layout Sector 1, Bangalore",,4.6,1,Calisthenic-Gym,JustDial,Bangalore,HSR Layout Sector 1,True,True,False
Ramana Boxing Club,"Outer Ring Road Hrbr Layout, Bangalore",,4.4,620,Calisthenic-Gym,JustDial,Bangalore,Outer Ring Road Hrbr Layout,True,True,False
Chaos Faktory,"15th Cross Road HSR Layout, Bangalore",,4.7,515,Calisthenic-Gym,JustDial,Bangalore,Road HSR Layout,False,True,False
Fitness First (Eva Mall),"Brigade Road Brigade Road, Bangalore",,4.0,594,Calisthenic-Gym,JustDial,Bangalore,Brigade Road Brigade Road,True,True,False
Health & Fitness Gym,"19 Khb Colony 5th Block Bengaluru Koramangala, Bangalore",,4.9,476,Calisthenic-Gym,JustDial,Bangalore,19 Khb Colony Bengaluru Koramangala,True,True,False
Fitness First,"100 Feet Inner Ring Road Koramangala, Bangalore",,3.9,584,Calisthenic-Gym,JustDial,Bangalore,100 Feet Inner Ring Road Koramangala,True,True,False
Multifit Hrbr,"HRBR Layout Kalyan Nagar, Bangalore",,4.1,476,Calisthenic-Gym,JustDial,Bangalore,HRBR Layout Kalyan Nagar,False,True,False
Multifit,"80 Feet Road HAL 2nd Stage Indiranagar, Bangalore",,4.1,329,Calisthenic-Gym,JustDial,Bangalore,80 Feet Road HAL 2nd Stage Indiranagar,False,True,False
Rise Fitness,"Hormavu Main Road Banaswadi, Bangalore",,4.9,264,Calisthenic-Gym,JustDial,Bangalore,Hormavu Main Road Banaswadi,False,True,False
Mani's Core Fit,"Malleswaram, Bangalore",,4.8,261,Calisthenic-Gym,JustDial,Bangalore,Malleswaram,True,True,False
Fit Factory,"Uttarahalli Main Road Uttarahalli, Bangalore",,4.6,238,Calisthenic-Gym,JustDial,Bangalore,Uttarahalli Main Road Uttarahalli,False,True,False
Maniac Lads Pvt Ltd,"Kagdaspura Main Road C V Raman Nagar, Bangalore",,4.9,205,Calisthenic-Gym,JustDial,Bangalore,Kagdaspura Main Road C V Raman Nagar,False,True,False
Kineto Calisthenics Park,"Chikkalasandra Ramanjaneya Nagar, Bangalore",,5.0,200,Calisthenic-Gym,JustDial,Bangalore,Chikkalasandra Ramanjaneya Nagar,False,True,False
Ace Fitness,"6th Block Banashankari 3rd Stage, Bangalore",,4.9,197,Calisthenic-Gym,JustDial,Bangalore,Banashankari 3rd Stage,False,True,False
Fighter Club,"Begur Road, Bangalore",,5.0,190,Calisthenic-Gym,JustDial,Bangalore,Begur Road,False,True,False
Calibaf - The Calisthenics Studio,"7th Main Road Hrbr Layout, Bangalore",,4.9,191,Calisthenic-Gym,JustDial,Bangalore,Hrbr Layout,False,True,False
Kranos Fitness Hub,"HSR Layout HSR Layout, Bangalore",,4.7,196,Calisthenic-Gym,JustDial,Bangalore,HSR Layout HSR Layout,False,True,False
Karnos Fitness Hub,"Near It Park It Layout Sector 7 HSR Layout Sector 7, Bangalore",,4.7,194,Calisthenic-Gym,JustDial,Bangalore,Near It Park It Layout Sector 7 HSR Layout Sector 7,False,True,False
The Movement Fitness Centre,"23rd Cross Road HSR Layout, Bangalore",,4.7,188,Calisthenic-Gym,JustDial,Bangalore,Road HSR Layout,False,True,False
Bohofit Fitness Centre,"2nd Cross HSR Layout, Bangalore",,5.0,169,Calisthenic-Gym,JustDial,Bangalore,HSR Layout,False,True,False
Nxtmove Fitness Pvt Ltd,"24th Main Road HSR Layout Sector 2, Bangalore",,4.7,143,Calisthenic-Gym,JustDial,Bangalore,HSR Layout Sector 2,False,True,False
Cult Fit,"Gangadhar Chetty Road Ulsoor, Bangalore",,4.1,162,Calisthenic-Gym,JustDial,Bangalore,Gangadhar Chetty Road Ulsoor,False,True,False
Fusion Fitness,"5th Main Road Ittamadu, Bangalore",,4.8,132,Calisthenic-Gym,JustDial,Bangalore,Ittamadu,False,True,False
Mind and Muscle Fitness,"Between Jp Nagar 7th Phase, Bangalore",,5.0,124,Calisthenic-Gym,JustDial,Bangalore,Between Jp Nagar 7th Phase,False,True,False
Republic Of Domination,"Panduranga Nagar, Bangalore",,4.9,108,Calisthenic-Gym,JustDial,Bangalore,Panduranga Nagar,False,True,False
Akhaada Crossfit Studio,"Anugraha Layout, Bangalore",,5.0,102,Calisthenic-Gym,JustDial,Bangalore,Anugraha Layout,False,True,False
Fitness At Impact,"3rd Block Basaveshwara Nagar, Bangalore",,4.8,87,Calisthenic-Gym,JustDial,Bangalore,Basaveshwara Nagar,False,True,False
Bell Fitness and Play Arena,"Dodda Basti Main Road Sonnenahalli, Bangalore",,4.9,83,Calisthenic-Gym,JustDial,Bangalore,Dodda Basti Main Road Sonnenahalli,False,True,False
The Outfit Gym,"Sodepur Appareddipalya Bengaluru Indiranagar, Bangalore",,4.6,86,Calisthenic-Gym,JustDial,Bangalore,Sodepur Appareddipalya Bengaluru Indiranagar,False,True,False
Muscle Garage,"Dr Rajkumar Road Rajajinagar 6th Block, Bangalore",,5.0,48,Calisthenic-Gym,JustDial,Bangalore,Dr Rajkumar Road Rajajinagar,False,True,False
Get In Shape,"Seshadripuram, Bangalore",,4.9,8,Calisthenic-Gym,JustDial,Bangalore,Seshadripuram,False,True,False
Srushti Kala Mandira,"16th Jp Nagar 5th Phase, Bangalore",,4.3,8,Calisthenic-Gym,JustDial,Bangalore,16th Jp Nagar 5th Phase,False,True,False
Fitness Edge Equipments,"#44 CNR Complex Vinayaka Nagar Yelahanka, Bangalore",,3.8,5,Calisthenic-Gym,JustDial,Bangalore,#44 CNR Complex Vinayaka Nagar Yelahanka,False,True,False
The Cavalry Strength And Conditioning,"Street John'S Road St Johns Road, Bangalore",,4.4,4,Calisthenic-Gym,JustDial,Bangalore,Street John'S Road St Johns Road,False,True,False
Fit Equation Gym,"1st Phase Bharat Nagar, Bangalore",,5.0,2,Calisthenic-Gym,JustDial,Bangalore,1st Phase Bharat Nagar,False,True,False
Spartan Fitness,"Kogilu Main Road Kogilu, Bangalore",,4.0,2,Calisthenic-Gym,JustDial,Bangalore,Kogilu Main Road Kogilu,False,True,False
Sri Gandha Gym,"Magadi Main Road Anjananagar, Bangalore",,5.0,1,Calisthenic-Gym,JustDial,Bangalore,Magadi Main Road Anjananagar,False,True,False
Mr Chethan,"Mysore Road Kumbalgodu, Bangalore",,4.0,1,Calisthenic-Gym,JustDial,Bangalore,Mysore Road Kumbalgodu,False,True,False
Mahi's Dance Club,"Ist Cross Road Bhagyalakshmi Avenue, Bangalore",,4.0,1,Calisthenic-Gym,JustDial,Bangalore,Ist Cross Road Bhagyalakshmi Avenue,False,True,False
NB3 Fitness Centra gym,Bangalore,,3.0,1,Calisthenic-Gym,JustDial,Bangalore,Bangalore,False,True,False
Sculpt Fitness,"Rayakotta Road Old Rayakottah HUDCO, Hosur",,5.0,8,Calisthenic-Gym,JustDial,Hosur,Rayakotta Road Old Rayakottah HUDCO,False,True,False
Hosur Sports Arena,"Krishnagiri Bye Pass Road Jalagandeswarar Nagar, Hosur",,4.5,140,Calisthenic-Gym,JustDial,Hosur,Krishnagiri Bye Pass Road Jalagandeswarar Nagar,False,True,False
New S P Fitness Studio,"Channel Road Ck Road, Channapatna",,4.9,19,Calisthenic-Gym,JustDial,Channapatna,Channel Road Ck Road,False,True,False
MS FITNESS AND GYM,"Govt Boys College Main Road Kolar Fort, Kolar",,4.9,42,Calisthenic-Gym,JustDial,Kolar,Govt Boys College Main Road Kolar Fort,False,True,False
My Fit Fitness Centre,"Sidco Krishnagiri Courts, Krishnagiri",,5.0,55,Calisthenic-Gym,JustDial,Krishnagiri,Sidco Krishnagiri Courts,False,True,False
Ajaya Golden Gym,"Old Bus Stand Road Pandavapura, Mandya",,5.0,1,Calisthenic-Gym,JustDial,Mandya,Old Bus Stand Road Pandavapura,False,True,False
POWER HOUSE GYM SLEEK FIT MACHINE MAKERS,"Al Badar Road Rajivnagar, Mysore",,4.4,160,Calisthenic-Gym,JustDial,Mysore,Al Badar Road Rajivnagar,False,True,False
Pure Gym,"New Kantharaj Urs Road Tk Layout, Mysore",,4.6,281,Calisthenic-Gym,JustDial,Mysore,New Kantharaj Urs Road Tk Layout,False,True,False
Heallth Club,"2nd Phase Vijaynagar 4th Stage, Mysore",,4.8,16,Calisthenic-Gym,JustDial,Mysore,2nd Phase Vijaynagar 4th Stage,False,True,False
Supernova Fitness 365,"Gaddige Main Road Bogadi, Mysore",,5.0,5,Calisthenic-Gym,JustDial,Mysore,Gaddige Main Road Bogadi,False,True,False
G V Fitness Gym,"12 Bangalore Highways Karumbalai Karuppur, Salem",,4.9,64,Calisthenic-Gym,JustDial,Salem,12 Bangalore Highways Karumbalai Karuppur,False,True,False
Akhils Ak Fitness,"Dr Subbarayan Road Agraharam, Salem",,5.0,3,Calisthenic-Gym,JustDial,Salem,Dr Subbarayan Road Agraharam,False,True,False
K A 13 Fitness,"Dasarakoppalu Circle Salagame Road, Hassan",09724265594,5.0,53,Calisthenic-Gym,JustDial,Hassan,Dasarakoppalu Circle Salagame Road,False,False,False
Ironstone Gym,"M G Road Bm Road, Hassan",,4.6,98,Calisthenic-Gym,JustDial,Hassan,M G Road Bm Road,False,True,False
Reckon Dance Zumba & Fitness Studio LLP,"Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar, Bangalore",07490847214,4.7,101,Dance & Zumba Studio,JustDial,Bangalore,Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar,True,False,False
Kink Moirai Dance & Zumba Fitness Studio,"Dasarahalli Main Road Hebbal, Bangalore",,5.0,34,Dance & Zumba Studio,JustDial,Bangalore,Dasarahalli Main Road Hebbal,False,True,False
